"","seqnames","Copies","band"
"1","1",3,"p36.32"
"2","1",3,"p36.31"
"3","1",3,"p36.22"
"4","1",3,"p36.23"
"5","1",3,"p36.21"
"6","1",3,"p36.13"
"7","1",3,"p36.12"
"8","1",3,"p35.3"
"9","1",3,"p36.11"
"10","1",3,"p35.2"
"11","1",3,"p36.33"
"12","1",4,"p34.3"
"13","1",4,"p35.1"
"14","1",4,"p34.2"
"15","1",4,"p34.1"
"16","1",4,"p32.3"
"17","1",4,"p32.2"
"18","1",4,"p31.3"
"19","1",4,"p31.1"
"20","1",4,"p32.1"
"21","1",4,"p22.3"
"22","1",4,"p22.2"
"23","1",4,"p31.2"
"24","1",4,"p22.1"
"25","1",4,"p21.3"
"26","1",4,"p21.1"
"27","1",4,"p21.2"
"28","1",4,"p13.3"
"29","1",4,"p33"
"30","1",4,"p13.2"
"31","1",4,"p12"
"32","1",4,"p13.1"
"33","1",4,"q21.1"
"34","1",4,"q21.3"
"35","1",4,"p11.2"
"36","1",4,"q23.2"
"37","1",4,"q23.3"
"38","1",4,"q24.1"
"39","1",4,"q24.2"
"40","1",4,"q25.3"
"41","1",4,"q31.1"
"42","1",4,"q31.2"
"43","1",4,"q25.2"
"44","1",4,"q32.1"
"45","1",4,"q31.3"
"46","1",4,"q32.3"
"47","1",4,"q42.2"
"48","1",4,"q32.2"
"49","1",4,"q42.13"
"50","1",4,"q44"
"51","1",4,"q41"
"52","1",4,"q25.1"
"53","1",4,"q42.3"
"54","1",4,"q23.1"
"55","1",4,"q43"
"56","1",4,"q24.3"
"57","1",4,"p35.2"
"58","1",4,"q22"
"59","1",4,"q21.2"
"60","1",4,"q42.12"
"61","1",4,"q42.11"
"62","2",4,"p25.3"
"63","2",4,"p25.2"
"64","2",4,"p25.1"
"65","2",4,"p24.1"
"66","2",4,"p24.2"
"67","2",4,"p24.3"
"68","2",4,"p23.3"
"69","2",4,"p22.2"
"70","2",4,"p23.1"
"71","2",4,"p16.3"
"72","2",4,"p22.3"
"73","2",4,"p21"
"74","2",4,"p16.2"
"75","2",4,"p16.1"
"76","2",4,"p14"
"77","2",4,"p15"
"78","2",4,"p13.3"
"79","2",4,"p12"
"80","2",4,"p22.1"
"81","2",4,"p11.2"
"82","2",4,"p11.1"
"83","2",4,"q11.2"
"84","2",4,"p13.2"
"85","2",4,"p13.1"
"86","2",4,"q11.1"
"87","2",4,"p23.2"
"88","2",3,"q12.1"
"89","2",3,"q11.2"
"90","2",3,"q12.3"
"91","2",3,"q13"
"92","2",3,"q14.1"
"93","2",3,"q12.2"
"94","2",3,"q14.2"
"95","2",3,"q14.3"
"96","2",4,"q21.1"
"97","2",4,"q21.2"
"98","2",4,"q14.3"
"99","2",4,"q22.1"
"100","2",4,"q22.2"
"101","2",4,"q21.3"
"102","2",4,"q22.3"
"103","2",3,"q31.1"
"104","2",3,"q24.1"
"105","2",3,"q33.3"
"106","2",3,"q33.1"
"107","2",3,"q34"
"108","2",3,"q36.1"
"109","2",3,"q37.3"
"110","2",3,"q24.2"
"111","2",3,"q24.3"
"112","2",3,"q37.1"
"113","2",3,"q32.3"
