"","seqnames","Copies","band"
"1","1",3,"p36.32"
"2","1",3,"p36.31"
"3","1",3,"p36.22"
"4","1",3,"p36.23"
"5","1",3,"p36.21"
"6","1",3,"p36.13"
"7","1",3,"p36.12"
"8","1",3,"p35.3"
"9","1",3,"p36.11"
"10","1",3,"p35.2"
"11","1",3,"p36.33"
"12","1",4,"p34.3"
"13","1",4,"p35.1"
"14","1",4,"p34.2"
"15","1",4,"p34.1"
"16","1",4,"p32.3"
"17","1",4,"p32.2"
"18","1",4,"p31.3"
"19","1",4,"p31.1"
"20","1",4,"p32.1"
"21","1",4,"p22.3"
"22","1",4,"p22.2"
"23","1",4,"p31.2"
"24","1",4,"p22.1"
"25","1",4,"p21.3"
"26","1",4,"p21.1"
"27","1",4,"p21.2"
"28","1",4,"p13.3"
"29","1",4,"p33"
"30","1",4,"p13.2"
"31","1",4,"p12"
"32","1",4,"p13.1"
"33","1",4,"q21.1"
"34","1",4,"q21.3"
"35","1",4,"p11.2"
"36","1",4,"q23.2"
"37","1",4,"q23.3"
"38","1",4,"q24.1"
"39","1",4,"q24.2"
"40","1",4,"q25.2"
"41","1",4,"q25.1"
"42","1",4,"q23.1"
"43","1",4,"q24.3"
"44","1",4,"p35.2"
"45","1",4,"q22"
"46","1",4,"q21.2"
"47","1",4,"q25.3"
"48","1",4,"q31.1"
"49","1",4,"q31.2"
"50","1",4,"q32.1"
"51","1",4,"q31.3"
"52","1",4,"q32.3"
"53","1",4,"q25.2"
"54","1",4,"q32.2"
"55","1",4,"q42.2"
"56","1",4,"q42.13"
"57","1",4,"q44"
"58","1",4,"q41"
"59","1",4,"q32.3"
"60","1",4,"q42.3"
"61","1",4,"q43"
"62","1",4,"q42.12"
"63","1",4,"q42.11"
"64","2",4,"p25.3"
"65","2",4,"p25.2"
"66","2",4,"p25.1"
"67","2",4,"p24.1"
"68","2",4,"p24.2"
"69","2",4,"p24.3"
"70","2",4,"p23.3"
"71","2",4,"p22.2"
"72","2",4,"p23.1"
"73","2",4,"p16.3"
"74","2",4,"p22.3"
"75","2",4,"p21"
"76","2",4,"p16.2"
"77","2",4,"p16.1"
"78","2",4,"p14"
"79","2",4,"p15"
"80","2",4,"p13.3"
"81","2",4,"p12"
"82","2",4,"p22.1"
"83","2",4,"p11.2"
"84","2",4,"p11.1"
"85","2",4,"q11.2"
"86","2",4,"p13.2"
"87","2",4,"p13.1"
"88","2",4,"q11.1"
"89","2",4,"p23.2"
"90","2",3,"q12.1"
"91","2",3,"q11.2"
"92","2",3,"q12.3"
"93","2",3,"q13"
"94","2",3,"q14.1"
"95","2",3,"q12.2"
"96","2",3,"q14.2"
"97","2",3,"q14.3"
"98","2",4,"q21.1"
"99","2",4,"q21.2"
"100","2",4,"q14.3"
"101","2",4,"q22.1"
"102","2",4,"q22.2"
"103","2",4,"q21.3"
"104","2",4,"q22.3"
"105","2",3,"q31.1"
"106","2",3,"q24.1"
"107","2",3,"q33.3"
"108","2",3,"q33.1"
"109","2",3,"q34"
"110","2",3,"q36.1"
"111","2",3,"q37.3"
"112","2",3,"q24.2"
"113","2",3,"q24.3"
