"","seqnames","Copies","band"
"1","1",2,"p36.32"
"2","1",2,"p36.31"
"3","1",2,"p36.22"
"4","1",2,"p36.23"
"5","1",2,"p36.21"
"6","1",2,"p36.13"
"7","1",2,"p36.12"
"8","1",2,"p36.11"
"9","1",2,"p35.3"
"10","1",2,"p36.33"
"11","1",4,"p35.3"
"12","1",4,"p35.2"
"13","1",4,"p34.3"
"14","1",4,"p35.1"
"15","1",4,"p34.2"
"16","1",4,"p34.1"
"17","1",4,"p32.3"
"18","1",4,"p32.2"
"19","1",4,"p31.3"
"20","1",4,"p31.1"
"21","1",4,"p32.1"
"22","1",4,"p22.3"
"23","1",4,"p22.2"
"24","1",4,"p31.2"
"25","1",4,"p22.1"
"26","1",4,"p21.3"
"27","1",4,"p21.1"
"28","1",4,"p21.2"
"29","1",4,"p13.3"
"30","1",4,"p33"
"31","1",4,"p13.2"
"32","1",4,"p12"
"33","1",4,"p13.1"
"34","1",4,"q21.1"
"35","1",4,"q21.3"
"36","1",4,"p11.2"
"37","1",4,"q23.2"
"38","1",4,"q23.3"
"39","1",4,"q24.1"
"40","1",4,"q24.2"
"41","1",4,"q25.3"
"42","1",4,"q31.1"
"43","1",4,"q31.2"
"44","1",4,"q25.2"
"45","1",4,"q32.1"
"46","1",4,"q31.3"
"47","1",4,"q32.3"
"48","1",4,"q42.2"
"49","1",4,"q32.2"
"50","1",4,"q42.13"
"51","1",4,"q44"
"52","1",4,"q41"
"53","1",4,"q25.1"
"54","1",4,"q42.3"
"55","1",4,"q23.1"
"56","1",4,"q43"
"57","1",4,"q24.3"
"58","1",4,"q22"
"59","1",4,"q21.2"
"60","1",4,"q42.12"
"61","1",4,"q42.11"
"62","2",4,"p25.3"
"63","2",4,"p25.2"
"64","2",4,"p25.1"
"65","2",4,"p24.1"
"66","2",4,"p24.2"
"67","2",4,"p24.3"
"68","2",4,"p23.3"
"69","2",4,"p22.2"
"70","2",4,"p23.1"
"71","2",4,"p16.3"
"72","2",4,"p22.3"
"73","2",4,"p21"
"74","2",4,"p16.2"
"75","2",4,"p16.1"
"76","2",4,"p14"
"77","2",4,"p15"
"78","2",4,"p13.3"
"79","2",4,"p12"
"80","2",4,"p22.1"
"81","2",4,"p11.2"
"82","2",4,"q12.1"
"83","2",4,"q11.2"
"84","2",4,"p11.1"
"85","2",4,"q12.3"
"86","2",4,"q13"
"87","2",4,"q14.1"
"88","2",4,"q12.2"
"89","2",4,"q21.1"
"90","2",4,"q14.2"
"91","2",4,"q21.2"
"92","2",4,"q14.3"
"93","2",4,"q22.1"
"94","2",4,"q31.1"
"95","2",4,"q24.1"
"96","2",4,"q33.3"
"97","2",4,"q33.1"
"98","2",4,"q22.2"
"99","2",4,"q34"
"100","2",4,"q36.1"
"101","2",4,"q37.3"
"102","2",4,"p13.2"
"103","2",4,"q24.2"
"104","2",4,"q24.3"
"105","2",4,"q21.3"
"106","2",4,"q37.1"
"107","2",4,"q32.3"
"108","2",4,"q31.3"
"109","2",4,"q23.3"
"110","2",4,"q33.2"
"111","2",4,"q35"
"112","2",4,"q36.2"
"113","2",4,"q37.2"
"114","2",4,"q31.2"
"115","2",4,"q32.1"
"116","2",4,"q32.2"
"117","2",4,"q36.3"
"118","2",4,"p13.1"
"119","2",4,"q22.3"
"120","2",4,"q23.1"
"121","2",4,"q23.2"
"122","2",4,"q11.1"
"123","2",4,"p23.2"
"124","3",4,"p26.3"
"125","3",4,"p26.2"
"126","3",4,"p25.1"
"127","3",4,"p24.1"
"128","3",4,"p24.2"
"129","3",4,"p22.3"
"130","3",4,"p25.3"
"131","3",4,"p25.2"
"132","3",4,"p24.3"
"133","3",4,"p22.2"
"134","3",4,"p26.1"
"135","3",4,"p23"
"136","3",4,"p21.31"
"137","3",4,"p21.2"
"138","3",4,"p14.3"
"139","3",4,"p21.33"
"140","3",4,"p14.2"
"141","3",4,"p14.1"
"142","3",4,"p12.2"
"143","3",4,"p12.3"
"144","3",4,"p21.1"
"145","3",4,"p11.1"
