"","Chromosome","Start","End","Num_Bins","Mean1","SE1","Mean2","SE2","p_value","q_value"
"1","1",1000001,28000000,23,2.01698114106073,0.0400946169444513,2.03762898424002,0.0396771386339093,0.716085771789052,0.999621468341465
"2","1",28000001,248956422,160,4.05327877291377,0.00983296727852753,4.05272401684427,0.00973058319607722,0.968037165887489,0.999621468341465
"3","2",2000001,242000000,183,4.04384370770801,0.0114796023125947,4.04338719263399,0.0113600729257497,0.977464976820569,0.999621468341465
"4","3",1,198000000,163,3.94674558009587,0.0157921113505935,3.94730008259382,0.0156276787042941,0.980103853231331,0.999621468341465
"5","4",1000001,189000000,149,3.08592212234634,0.00990752971767386,3.09543980120571,0.00980436926663602,0.495249343492715,0.999621468341465
"6","5",1000001,181000000,142,4.05047095414843,0.0123209264769807,4.04994543400944,0.0121926369468164,0.975835366502174,0.999621468341465
"7","6",2000001,113000000,94,4.04422845816895,0.02425695371419,4.04376793694686,0.0240043823510685,0.98924767512879,0.999621468341465
"8","6",113000001,158000000,35,3.07302935708663,0.0223362809493103,3.08268127964925,0.022103708261375,0.759668828573398,0.999621468341465
"9","6",158000001,170805979,12,1.9471115807764,0.0177877149328633,1.96848692874833,0.017602503407115,0.402223102284167,0.999621468341465
"10","7",1,159000000,123,4.03649981352329,0.0188836483556602,4.03611976548577,0.0186870256114321,0.988598060661423,0.999621468341465
"11","8",1,15000000,10,4.63110275907714,0.0621559395773118,4.62453151002386,0.0615087515350657,0.940926780634969,0.999621468341465
"12","8",15000001,145000000,101,3.99771353535298,0.0141861574576907,3.9977373427733,0.0140384465303928,0.999049415856976,0.999621468341465
"13","9",1,138000000,88,2.95329382543912,0.0427272449725878,2.96419247365404,0.0422823548749973,0.856337940039518,0.999621468341465
"14","10",1,9000000,8,3.02399328440849,0.035447756032666,3.0341557866533,0.0350786623630214,0.841459463805476,0.999621468341465
"15","10",9000001,34000000,21,1.99110551417511,0.0224796782886692,2.01202278287382,0.0222456125005739,0.512151550811524,0.999621468341465
"16","10",34000001,133000000,76,3.00704998571253,0.0137313748132769,3.01738890714409,0.0135883992321308,0.593311791078285,0.999621468341465
"17","11",1,135086622,114,3.98528896544664,0.031280150565659,3.98544214156652,0.0309544513719308,0.997225869328761,0.999621468341465
"18","12",1000001,40000000,26,5.14028914683424,0.0285361667548869,5.1284160819984,0.0282390388211625,0.768651944211921,0.999621468341465
"19","12",42000001,57000000,14,4.11450125750613,0.027543381295487,4.11330903283405,0.0272565905697947,0.975690255456896,0.999621468341465
"20","12",57000001,93000000,34,5.21045399251981,0.0242370959247095,5.19785034828282,0.0239847313274093,0.712845283896581,0.999621468341465
"21","12",93000001,133275309,37,4.97381081644881,0.02724482589939,4.96367117862656,0.0269611438304667,0.792122996816424,0.999621468341465
"22","13",20000001,114364328,78,3.05216458168778,0.0131917627795871,3.06203375513959,0.0130544058160345,0.595651578988175,0.999621468341465
"23","14",19000001,105000000,75,5.08036477295108,0.0166176734767699,5.06911566036309,0.0164446448066661,0.63110993469144,0.999621468341465
"24","15",23000001,82000000,47,5.04728423386334,0.0258098763273966,5.03637956670524,0.0255411354243625,0.764616924437138,0.999621468341465
"25","15",82000001,101991189,18,5.95675364495216,0.0378905443471216,5.93637928380106,0.0374960155638321,0.704686482438708,0.999621468341465
"26","16",1,90000000,60,2.92442078763475,0.0310115004444371,2.93562007139532,0.0306885985239411,0.797863113724527,0.999621468341465
"27","17",1000001,18000000,15,3.00721523384015,0.0438905518021417,3.01755243465397,0.0434335489720486,0.868251894109118,0.999621468341465
"28","17",27000001,83257441,46,4.16921748303642,0.0363947691073211,4.16745553506644,0.0360158148267367,0.972625448940095,0.999621468341465
"29","18",1,80373285,66,3.96481615379158,0.0419049076846525,3.96518249954552,0.0414685800327923,0.995051492606869,0.999621468341465
"30","19",1000001,36000000,25,4.03839531880767,0.0391889768391492,4.03799553414703,0.0387809283506116,0.994244509878992,0.999621468341465
"31","19",38000001,58617616,15,6.13301003149508,0.0547704188074961,6.11080043100055,0.054200131231408,0.77529307654346,0.999621468341465
"32","20",1,64444167,48,4.0012334123159,0.0191904338272406,4.00122056962207,0.0189906167319965,0.999621468341465,0.999621468341465
"33","21",14000001,46709983,27,3.02245564260082,0.0214220167283537,3.03263415527678,0.0211989636595454,0.736926270646654,0.999621468341465
"34","22",17000001,50000000,26,3.52177852722877,0.0378456654745647,3.52675792615392,0.0374516039848253,0.925863866351346,0.999621468341465
