"","Chromosome","Start","End","Num_Bins","Mean1","SE1","Mean2","SE2","p_value","q_value"
"1","1",1000001,30000000,25,3.31953494366769,0.0436489711959594,3.31953494366769,0.0436489711959594,1,1
"2","1",30000001,178000000,99,4.00004954456058,0.00985036646525021,4.00004954456058,0.00985036646525021,1,1
"3","1",178000001,207000000,25,4.17522148796337,0.0263499551181022,4.17522148796337,0.0263499551181022,1,1
"4","1",207000001,248956422,34,4.02612182367834,0.0207147439706573,4.02612182367834,0.0207147439706573,1,1
"5","2",2000001,99000000,72,4.01243801976369,0.0142323109608113,4.01243801976369,0.0142323109608113,1,1
"6","2",99000001,124000000,18,3.21115933419831,0.0469253409237629,3.21115933419831,0.0469253409237629,1,1
"7","2",126000001,145000000,14,3.95936614840636,0.056129042850494,3.95936614840636,0.056129042850494,1,1
"8","2",145000001,242000000,79,3.22852422680759,0.0117025097308031,3.22852422680759,0.0117025097308031,1,1
"9","3",1,46000000,38,3.85436095127815,0.0277506793160087,3.85436095127815,0.0277506793160087,1,1
"10","3",46000001,68000000,22,1.90836364393312,0.0196852551353715,1.90836364393312,0.0196852551353715,1,1
"11","3",69000001,198000000,103,4.06130771538807,0.016785906860276,4.06130771538807,0.016785906860276,1,1
"12","4",1000001,189000000,149,3.05076679501148,0.0256560331286257,3.05076679501148,0.0256560331286257,1,1
"13","5",1000001,181000000,142,4.21582846319822,0.0131358823160606,4.21582846319822,0.0131358823160606,1,1
"14","6",2000001,170805979,141,3.84017582945994,0.0105857363986384,3.84017582945994,0.0105857363986384,1,1
"15","7",1,98000000,72,4.92116342741521,0.0246779067485954,4.92116342741521,0.0246779067485954,1,1
"16","7",98000001,159000000,51,3.0611593226609,0.0291788517074082,3.0611593226609,0.0291788517074082,1,1
"17","8",1,141000000,107,3.9988834258188,0.0102086614596309,3.9988834258188,0.0102086614596309,1,1
"18","8",141000001,145000000,4,4.45569718721861,0.0313911832872409,4.45569718721861,0.0313911832872409,1,1
"19","9",1,39000000,31,1.8426770822228,0.0714095433884805,1.8426770822228,0.0714095433884805,1,1
"20","9",69000001,138000000,57,3.13424235530514,0.0270358735320291,3.13424235530514,0.0270358735320291,1,1
"21","10",1,103000000,79,2.78923956803758,0.0433621046101667,2.78923956803758,0.0433621046101667,1,1
"22","10",103000001,111000000,8,1.89201516732962,0.0112418596378458,1.89201516732962,0.0112418596378458,1,1
"23","10",111000001,133000000,18,3.00624584932897,0.0403824035986422,3.00624584932897,0.0403824035986422,1,1
"24","11",1,44000000,40,2.05778292306528,0.0237631377979383,2.05778292306528,0.0237631377979383,1,1
"25","11",44000001,128000000,66,4.10482017749626,0.0230944663613408,4.10482017749626,0.0230944663613408,1,1
"26","11",128000001,135086622,8,4.71591009465296,0.0581351347723934,4.71591009465296,0.0581351347723934,1,1
"27","12",1000001,133275309,111,4.08833814453575,0.0138494000418148,4.08833814453575,0.0138494000418148,1,1
"28","13",20000001,77000000,47,3.71699438947568,0.086978307693439,3.71699438947568,0.086978307693439,1,1
"29","13",77000001,114364328,31,4.17555887970259,0.0285901054104065,4.17555887970259,0.0285901054104065,1,1
"30","14",19000001,105000000,75,4.13274061108568,0.0135059167683408,4.13274061108568,0.0135059167683408,1,1
"31","15",23000001,30000000,5,3.15454552441739,0.0765723969468659,3.15454552441739,0.0765723969468659,1,1
"32","15",31000001,101991189,60,4.03667022432939,0.0196499315017553,4.03667022432939,0.0196499315017553,1,1
"33","16",1,90000000,60,4.0213085999086,0.0313422235110177,4.0213085999086,0.0313422235110177,1,1
"34","17",1000001,83257441,61,4.19553060992702,0.0295700033881477,4.19553060992702,0.0295700033881477,1,1
"35","18",1,14000000,12,4.76764085820731,0.0561477919844079,4.76764085820731,0.0561477919844079,1,1
"36","18",21000001,80373285,54,3.01916761897931,0.0136555500439754,3.01916761897931,0.0136555500439754,1,1
"37","19",1000001,20000000,17,3.02544118024796,0.0453476236165626,3.02544118024796,0.0453476236165626,1,1
"38","19",28000001,58617616,23,7.1854734659778,0.110740109093038,7.1854734659778,0.110740109093038,1,1
"39","20",1,24000000,18,4.10729212516952,0.0286870613523813,4.10729212516952,0.0286870613523813,1,1
"40","20",25000001,64444167,30,6.32026186390014,0.0688879488135152,6.32026186390014,0.0688879488135152,1,1
"41","21",14000001,46709983,27,4.06348658353836,0.0335224268334509,4.06348658353836,0.0335224268334509,1,1
"42","22",17000001,50000000,26,3.08584678839557,0.0266701572026138,3.08584678839557,0.0266701572026138,1,1
