"","Chromosome","Start","End","Num_Bins","Mean1","SE1","Mean2","SE2","p_value","q_value"
"1","1",1000001,30000000,25,3.25516835244863,0.0463602823848412,3.25933967663967,0.0461006481868974,0.949393478590286,0.999639825401133
"2","1",30000001,248956422,158,4.01817898904771,0.0113524691734557,4.01807718019328,0.011288891277099,0.994930237010957,0.999639825401133
"3","2",2000001,100000000,73,3.96635312993213,0.0193254954306479,3.96654156446432,0.0192172657295354,0.99449301958778,0.999639825401133
"4","2",100000001,124000000,17,3.10471968961957,0.0569384270018165,3.1097335802467,0.056619551402568,0.950599979648777,0.999639825401133
"5","2",126000001,145000000,14,3.93539808625953,0.051636046208408,3.93575988013129,0.0513468658420975,0.996073799107896,0.999639825401133
"6","2",145000001,242000000,79,3.20590062728572,0.0142296305027254,3.21034786839635,0.0141499394716841,0.824903844352612,0.999639825401133
"7","3",1,46000000,38,3.82495545160178,0.0295034737537852,3.82593576381279,0.0293382437260422,0.981266260187637,0.999639825401133
"8","3",46000001,68000000,22,1.90054625020219,0.0205225566488057,1.91230394369344,0.0204076229758173,0.686622657949461,0.999639825401133
"9","3",69000001,198000000,103,4.05915877848932,0.0204748617297948,4.05882746812592,0.0203601951654478,0.990856480642666,0.999639825401133
"10","4",1000001,189000000,149,3.03364276794986,0.0252803078074274,3.03905471481394,0.0251387290226636,0.879447959744118,0.999639825401133
"11","5",1000001,181000000,142,4.17920312893528,0.0146361874501254,4.17819952718273,0.0145542195544593,0.961254802078587,0.999639825401133
"12","6",2000001,170805979,141,3.8411946610514,0.0127350552537414,3.84208402786899,0.0126637343797846,0.960540155408634,0.999639825401133
"13","7",1,98000000,72,4.90998402046826,0.0322525220623999,4.90488778379449,0.0320718963788067,0.910947078690917,0.999639825401133
"14","7",98000001,159000000,51,3.04516955190452,0.0299075206176804,3.05051694464699,0.0297400277826799,0.899366334414683,0.999639825401133
"15","8",1,145000000,111,4.00190550004661,0.0167440040269632,4.00189482856338,0.0166502316029771,0.999639825401133,0.999639825401133
"16","9",1,39000000,31,1.80721120522352,0.0718065194892054,1.81949160842007,0.0714043772429621,0.903883195726263,0.999639825401133
"17","9",69000001,138000000,57,3.09729733986814,0.0268235449740093,3.10235279831422,0.026673323507981,0.89392490890235,0.999639825401133
"18","10",1,103000000,79,2.77836691383956,0.042752815053814,2.78520849698337,0.042513383965923,0.909801378002674,0.999639825401133
"19","10",103000001,111000000,8,1.86356659249109,0.0274239181647178,1.87553138531988,0.027270334393634,0.761597481577878,0.999639825401133
"20","10",111000001,133000000,18,2.94382393792776,0.0414097392233519,2.94973890243309,0.0411778298415007,0.919918163257567,0.999639825401133
"21","11",1,44000000,40,2.00672239342862,0.0200348425036613,2.01788546246184,0.0199226402046936,0.693853068343788,0.999639825401133
"22","11",44000001,128000000,66,4.09341472125678,0.0295167192286133,4.09289156533576,0.0293514150214638,0.98999176487404,0.999639825401133
"23","11",128000001,135086622,8,4.74897785856664,0.0661413309488967,4.74478331410783,0.0657709157890126,0.964767189695783,0.999639825401133
"24","12",1000001,133275309,111,4.07516724551471,0.0171324917898837,4.07474628199816,0.0170365436951823,0.986114884920707,0.999639825401133
"25","13",20000001,40000000,16,3.30025460970678,0.22584578234593,3.30417343469722,0.224580965016483,0.990264569615207,0.999639825401133
"26","13",41000001,114364328,62,4.01961993287481,0.0272014685848905,4.01951005421848,0.0270491306111848,0.99771928203644,0.999639825401133
"27","14",19000001,105000000,75,4.10810067253733,0.0164147964740631,4.10749527002536,0.0163228677303687,0.979171096145207,0.999639825401133
"28","15",23000001,32000000,6,3.08954702886969,0.104574234361081,3.09464589183525,0.103988581166855,0.973099842414564,0.999639825401133
"29","15",33000001,101991189,59,4.02497791803582,0.0199973833073032,4.02483803274216,0.0198853907932614,0.996050862512994,0.999639825401133
"30","16",1,90000000,60,3.95434460097409,0.0339303859104072,3.95460028757258,0.0337403635878803,0.995745602072261,0.999639825401133
"31","17",1000001,83257441,61,4.16119186577873,0.0334637541905987,4.1602891335555,0.0332763451729542,0.984770209134989,0.999639825401133
"32","18",1,14000000,12,4.75670645680096,0.0749610538571229,4.75246862942193,0.0745412450877618,0.96838497542726,0.999639825401133
"33","18",21000001,80373285,54,3.00144294860992,0.0155203130426594,3.00703522600346,0.0154333937267843,0.798832793196938,0.999639825401133
"34","19",1000001,20000000,17,3.03212698235727,0.0444030776441386,3.03754741816396,0.0441544044942498,0.931559867381717,0.999639825401133
"35","19",28000001,58617616,23,7.14786579718491,0.11176038658102,7.13023662045337,0.11113448835868,0.911449185220472,0.999639825401133
"36","20",1,24000000,18,4.07310220387522,0.0467332634635408,4.07269280533201,0.0464715404378713,0.995079995666527,0.999639825401133
"37","20",25000001,64444167,30,6.21690023077545,0.0600641913214731,6.20448479489521,0.0597278103216889,0.883979095447668,0.999639825401133
"38","21",14000001,46709983,27,4.00468490351101,0.0270596377803067,4.00465866637217,0.026908094109942,0.999454056464445,0.999639825401133
"39","22",17000001,50000000,26,3.04757563268026,0.0319414356721133,3.05290955050799,0.0317625521838062,0.906216262451775,0.999639825401133
