"","Chromosome","Start","End","Num_Bins","Mean1","SE1","Mean2","SE2","p_value","q_value"
"1","1",1000001,28000000,23,2.0575478363699,0.0336741076853105,2.03710957707245,0.034028422791427,0.671518536276255,0.999626353712239
"2","1",28000001,248956422,160,4.02859638682028,0.00889481189306684,4.02889727472875,0.00898840208554439,0.981031818174855,0.999626353712239
"3","2",2000001,242000000,183,4.01622821674244,0.00984431821454314,4.01639896818123,0.00994789900383758,0.990272305570729,0.999626353712239
"4","3",1,198000000,163,3.94922180948977,0.0142022543663306,3.94868752718221,0.0143516888609258,0.978905567962837,0.999626353712239
"5","4",1000001,189000000,149,3.0801652611183,0.00958048464515945,3.07048686529673,0.00968128940784001,0.477900883520907,0.999626353712239
"6","5",1000001,181000000,142,4.05970056640193,0.0122150432628866,4.06032872892721,0.0123435685497436,0.97117049195162,0.999626353712239
"7","6",2000001,113000000,94,4.01431557165092,0.0235251972409339,4.01446619845701,0.0237727266731828,0.996411408412015,0.999626353712239
"8","6",113000001,158000000,35,3.0618421089601,0.0174244311023293,3.05197091902912,0.017607768971672,0.691521896996286,0.999626353712239
"9","6",158000001,170805979,12,1.99576349624597,0.0225341986974162,1.97467514919468,0.0227713009564378,0.517198681104742,0.999626353712239
"10","7",1,159000000,123,4.04545803111747,0.0154882157070745,4.04593633531694,0.0156511809396826,0.982687340064316,0.999626353712239
"11","8",1,15000000,10,4.63541498493862,0.0532000781049723,4.64210074866904,0.0537598432365481,0.930537085102164,0.999626353712239
"12","8",15000001,145000000,101,4.00075989808253,0.0119945957309728,4.00076789364316,0.0121208014941354,0.999626353712239,0.999626353712239
"13","9",1,138000000,88,2.95775738973361,0.0420994428159683,2.94679103230236,0.0425424083338131,0.854834311862384,0.999626353712239
"14","10",1,9000000,8,2.98697368520986,0.0230482055771809,2.97631473829498,0.0232907161577488,0.749768801822862,0.999626353712239
"15","10",9000001,34000000,21,1.97264010817121,0.0198195546521931,1.95130845947772,0.0200280937373382,0.453450476591124,0.999626353712239
"16","10",34000001,133000000,76,3.00700434029654,0.0129401582478645,2.99655615364141,0.0130763131115836,0.57092572554513,0.999626353712239
"17","11",1,135086622,114,3.99454571402378,0.0250042676774785,3.99448832465114,0.0252673597195395,0.998713300921197,0.999626353712239
"18","12",1000001,40000000,26,5.11609551128583,0.0327043536994372,5.12783894048707,0.03304846516513,0.801632575438033,0.999626353712239
"19","12",42000001,57000000,14,4.08246842628408,0.0358011975198823,4.08333614962462,0.0361778936217329,0.986528162101203,0.999626353712239
"20","12",57000001,92000000,33,5.15423161634128,0.0246419534525272,5.16637630927417,0.0249012332657903,0.729979382372367,0.999626353712239
"21","12",92000001,133275309,38,4.95868856097571,0.0262632366349048,4.96877577226544,0.0265395754042115,0.787788276613276,0.999626353712239
"22","13",20000001,114364328,78,3.04381521009299,0.0111558965748891,3.03375434319582,0.0112732776415441,0.526791614610713,0.999626353712239
"23","14",19000001,105000000,75,5.03981449685891,0.014516173662468,5.05075530595886,0.0146689111799603,0.59680354876664,0.999626353712239
"24","15",23000001,82000000,47,5.01414148611273,0.0210419149381263,5.0248121667326,0.0212633155582666,0.722130853598811,0.999626353712239
"25","15",82000001,101991189,18,5.91484822465681,0.0428608439064855,5.93499603846844,0.043311820799441,0.742938755859983,0.999626353712239
"26","16",1,90000000,60,2.96042701023631,0.0293279752739518,2.94948874224637,0.029636560872373,0.793515789796805,0.999626353712239
"27","17",1000001,18000000,15,2.99544578911817,0.0380945505347321,2.98487598471074,0.0384953770344662,0.846672405547898,0.999626353712239
"28","17",27000001,83257441,46,4.15932676343439,0.0310772388556556,4.16100318139982,0.0314042300052312,0.969816586838568,0.999626353712239
"29","18",1,80373285,66,3.95918453452461,0.0416353076569919,3.95875507886935,0.0420733895978273,0.994222263246112,0.999626353712239
"30","19",1000001,36000000,25,4.03325339164895,0.0321795902896851,4.0336032800291,0.0325181802548544,0.993929521017715,0.999626353712239
"31","19",38000001,58617616,15,6.16140235215814,0.0556069631244025,6.18414438027428,0.0561920532246172,0.775715221160601,0.999626353712239
"32","20",1,64444167,48,3.99577488847998,0.0201793922434122,3.99573043234025,0.0203917174984986,0.998766870592699,0.999626353712239
"33","21",14000001,46709983,27,3.01521800591993,0.0218603050179951,3.0048562425142,0.0220903166448679,0.740166189583857,0.999626353712239
"34","22",17000001,50000000,26,3.47228945640113,0.0399854106479913,3.46673694647269,0.040406132561375,0.922580094543646,0.999626353712239
